Year,Carbon dioxide,Methane,Nitrous oxide,CFCs,HCFCs,HFCs
1979,1.054,0.432,0.108,0.194,0.008,0.001
1980,1.088,0.439,0.108,0.204,0.009,0.001
1981,1.107,0.446,0.111,0.215,0.01,0.001
1982,1.119,0.453,0.115,0.226,0.011,0.001
1983,1.147,0.456,0.117,0.237,0.012,0.001
1984,1.172,0.459,0.12,0.248,0.013,0.002
1985,1.195,0.464,0.122,0.26,0.014,0.002
1986,1.218,0.469,0.126,0.273,0.015,0.002
1987,1.246,0.474,0.125,0.287,0.016,0.002
1988,1.286,0.478,0.127,0.304,0.017,0.002
1989,1.311,0.483,0.131,0.317,0.018,0.003
1990,1.331,0.487,0.133,0.327,0.02,0.003
1991,1.353,0.491,0.135,0.335,0.021,0.003
1992,1.364,0.495,0.137,0.343,0.022,0.003
1993,1.375,0.495,0.138,0.346,0.024,0.004
1994,1.399,0.497,0.14,0.348,0.025,0.004
1995,1.427,0.5,0.141,0.349,0.027,0.005
1996,1.455,0.501,0.144,0.35,0.028,0.005
1997,1.472,0.502,0.146,0.35,0.03,0.006
1998,1.512,0.506,0.149,0.35,0.031,0.007
1999,1.545,0.509,0.152,0.35,0.033,0.008
2000,1.563,0.509,0.156,0.349,0.035,0.008
2001,1.587,0.509,0.158,0.348,0.036,0.01
2002,1.617,0.509,0.16,0.347,0.038,0.011
2003,1.656,0.511,0.163,0.345,0.039,0.012
2004,1.683,0.511,0.164,0.344,0.04,0.013
2005,1.713,0.51,0.167,0.342,0.042,0.015
2006,1.745,0.51,0.17,0.34,0.043,0.016
2007,1.771,0.512,0.172,0.338,0.045,0.018
2008,1.803,0.514,0.175,0.336,0.048,0.02
2009,1.824,0.517,0.177,0.334,0.049,0.021
2010,1.857,0.519,0.18,0.331,0.051,0.023
2011,1.884,0.52,0.183,0.329,0.053,0.025
2012,1.914,0.522,0.186,0.327,0.054,0.027
2013,1.953,0.524,0.189,0.324,0.056,0.028
2014,1.98,0.528,0.193,0.322,0.057,0.03
2015,2.013,0.532,0.196,0.32,0.058,0.032
2016,2.062,0.535,0.199,0.318,0.059,0.034
2017,2.092,0.538,0.201,0.316,0.06,0.036
2018,2.125,0.541,0.205,0.314,0.06,0.039
2019,2.159,0.544,0.208,0.312,0.061,0.041
2020,2.192,0.549,0.211,0.309,0.061,0.043
2021,2.223,0.555,0.215,0.306,0.061,0.046
2022,2.255,0.561,0.219,0.303,0.061,0.048
2023,2.286,0.565,0.223,0.301,0.061,0.051